week,fuel_price
2013-09-02,3.679
2013-09-09,3.674
2013-09-16,3.63
2013-09-23,3.589
2013-09-30,3.546
2013-10-07,3.499
2013-10-14,3.443
2013-10-21,3.397
2013-10-28,3.36
2013-11-04,3.335
2013-11-11,3.298
2013-11-18,3.297
2013-11-25,3.364
2013-12-02,3.393
2013-12-09,3.414
2013-12-16,3.437
2013-12-23,3.451
2013-12-30,3.479
2014-01-06,3.487
2014-01-13,3.458
2014-01-20,3.415
2014-01-27,3.382
2014-02-03,3.359
2014-02-10,3.36
2014-02-17,3.391
2014-02-24,3.455
2014-03-03,3.48
2014-03-10,3.502
2014-03-17,3.517
2014-03-24,3.511
2014-03-31,3.521
2014-04-07,3.522
2014-04-14,3.559
2014-04-21,3.601
2014-04-28,3.677
2014-05-05,3.673
2014-05-12,3.656
2014-05-19,3.651
2014-05-26,3.65
2014-06-02,3.643
2014-06-09,3.645
2014-06-16,3.667
2014-06-23,3.687
2014-06-30,3.694
2014-07-07,3.704
2014-07-14,3.678
2014-07-21,3.64
2014-07-28,3.616
2014-08-04,3.564
2014-08-11,3.527
2014-08-18,3.501
2014-08-25,3.46
2014-09-01,3.472
2014-09-08,3.473
2014-09-15,3.463
2014-09-22,3.43
2014-09-29,3.396
2014-10-06,3.354
2014-10-13,3.304
2014-10-20,3.197
2014-10-27,3.125
2014-11-03,3.039
2014-11-10,2.975
2014-11-17,2.935
2014-11-24,2.88
2014-12-01,2.866
2014-12-08,2.782
2014-12-15,2.691
2014-12-22,2.573
2014-12-29,2.489
2015-01-05,2.391
2015-01-12,2.298
2015-01-19,2.155
2015-01-26,2.1
2015-02-02,2.086
2015-02-09,2.131
2015-02-16,2.191
2015-02-23,2.242
2015-03-02,2.347
2015-03-09,2.408
2015-03-16,2.394
2015-03-23,2.33
2015-03-30,2.297
2015-04-06,2.294
2015-04-13,2.278
2015-04-20,2.44
2015-04-27,2.518
2015-05-04,2.591
2015-05-11,2.608
2015-05-18,2.625
2015-05-25,2.667
2015-06-01,2.666
2015-06-08,2.694
2015-06-15,2.739
2015-06-22,2.761
2015-06-29,2.749
2015-07-06,2.738
2015-07-13,2.726
2015-07-20,2.696
2015-07-27,2.667
2015-08-03,2.608
2015-08-10,2.564
2015-08-17,2.519
2015-08-24,2.447
2015-08-31,2.354
2015-09-07,2.321
2015-09-14,2.288
2015-09-21,2.254
2015-09-28,2.222
2015-10-05,2.185
2015-10-12,2.157
2015-10-19,2.117
2015-10-26,2.108
2015-11-02,2.098
2015-11-09,2.109
2015-11-16,2.1
2015-11-23,2.093
2015-11-30,2.098
2015-12-07,2.083
2015-12-14,2.043
2015-12-21,2.038
2015-12-28,2.013
2016-01-04,1.992
2016-01-11,1.966
2016-01-18,1.915
2016-01-25,1.885
2016-02-01,1.854
2016-02-08,1.808
2016-02-15,1.765
2016-02-22,1.743
2016-02-29,1.734
2016-03-07,1.744
2016-03-14,1.848
2016-03-21,1.872
2016-03-28,1.995
2016-04-04,2.008
2016-04-11,2.022
2016-04-18,2.104
2016-04-25,2.148
2016-05-02,2.211
2016-05-09,2.239
2016-05-16,2.222
2016-05-23,2.272
2016-05-30,2.314
2016-06-06,2.322
2016-06-13,2.331
2016-06-20,2.311
2016-06-27,2.311
2016-07-04,2.298
2016-07-11,2.241
2016-07-18,2.214
2016-07-25,2.178
2016-08-01,2.138
2016-08-08,2.092
2016-08-15,2.064
2016-08-22,2.13
2016-08-29,2.16
2016-09-05,2.163
2016-09-12,2.136
2016-09-19,2.148
2016-09-26,2.154
2016-10-03,2.195
2016-10-10,2.21
2016-10-17,2.208
2016-10-24,2.205
2016-10-31,2.203
2016-11-07,2.198
2016-11-14,2.171
2016-11-21,2.15
2016-11-28,2.147
2016-12-05,2.182
2016-12-12,2.202
2016-12-19,2.226
2016-12-26,2.26
2017-01-02,2.317
2017-01-09,2.325
2017-01-16,2.295
2017-01-23,2.266
2017-01-30,2.245
2017-02-06,2.231
2017-02-13,2.251
2017-02-20,2.242
2017-02-27,2.229
2017-03-06,2.208
2017-03-13,2.216
2017-03-20,2.223
2017-03-27,2.23
2017-04-03,2.252
2017-04-10,2.275
2017-04-17,2.335
2017-04-24,2.36
2017-05-01,2.362
2017-05-08,2.351
2017-05-15,2.343
2017-05-22,2.387
2017-05-29,2.404
2017-06-05,2.382
2017-06-12,2.302
2017-06-19,2.274
2017-06-26,2.265
2017-07-03,2.255
2017-07-10,2.24
2017-07-17,2.219
2017-07-24,2.269
2017-07-31,2.324
2017-08-07,2.341
2017-08-14,2.334
2017-08-21,2.322
2017-08-28,2.361
2017-09-04,2.732
2017-09-11,2.745
2017-09-18,2.728
2017-09-25,2.706
2017-10-02,2.674
2017-10-09,2.625
2017-10-16,2.593
2017-10-23,2.576
2017-10-30,2.557
2017-11-06,2.555
2017-11-13,2.577
2017-11-20,2.58
2017-11-27,2.571
2017-12-04,2.561
2017-12-11,2.535
2017-12-18,2.517
2017-12-25,2.489
2018-01-01,2.516
2018-01-08,2.541
2018-01-15,2.525
2018-01-22,2.534
2018-01-29,2.564
2018-02-05,2.596
2018-02-12,2.619
2018-02-19,2.58
2018-02-26,2.554
2018-03-05,2.539
2018-03-12,2.529
2018-03-19,2.528
2018-03-26,2.548
2018-04-02,2.61
2018-04-09,2.608
2018-04-16,2.654
2018-04-23,2.721
2018-04-30,2.755
2018-05-07,2.777
2018-05-14,2.833
2018-05-21,2.895
2018-05-28,2.949
2018-06-04,2.931
2018-06-11,2.891
2018-06-18,2.86
2018-06-25,2.858
2018-07-02,2.869
2018-07-09,2.869
2018-07-16,2.884
2018-07-23,2.874
2018-07-30,2.872
2018-08-06,2.869
2018-08-13,2.869
2018-08-20,2.854
2018-08-27,2.834
2018-09-03,2.839
2018-09-10,2.839
2018-09-17,2.839
2018-09-24,2.825
2018-10-01,2.827
2018-10-08,2.831
2018-10-15,2.799
2018-10-22,2.804
2018-10-29,2.789
2018-11-05,2.77
2018-11-12,2.729
2018-11-19,2.704
2018-11-26,2.68
2018-12-03,2.642
2018-12-10,2.625
2018-12-17,2.58
2018-12-24,2.559
2018-12-31,2.512
